HOL-HBD-1481,**start-asset**,**start-lang**,English,**start-html**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-hbd-1481_html_en/,**start-pdf**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-hbd-1481_pdf_en.pdf,**end-asset**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOL-HBD-1482,**start-asset**,**start-lang**,English,**start-html**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-hbd-1482_html_en/,**start-pdf**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-hbd-1482_pdf_en.pdf,**end-asset**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOL-HBD-1483,**start-asset**,**start-lang**,English,**start-html**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-hbd-1483_html_en/,**start-pdf**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-hbd-1483_pdf_en.pdf,**end-asset**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOL-HBD-1484,**start-asset**,**start-lang**,English,**start-html**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-hbd-1484_html_en/,**start-pdf**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-hbd-1484_pdf_en.pdf,**end-asset**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOL-MBL-1451,**start-asset**,**start-lang**,English,**start-html**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-mbl-1451_html_en/,**start-pdf**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-mbl-1451_pdf_en.pdf,**end-asset**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOL-MBL-1452,**start-asset**,**start-lang**,English,**start-html**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-mbl-1452_html_en/,**start-pdf**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-mbl-1452_pdf_en.pdf,**end-asset**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOL-MBL-1453,**start-asset**,**start-lang**,English,**start-html**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-mbl-1453_html_en/,**start-pdf**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-mbl-1453_pdf_en.pdf,**end-asset**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOL-MBL-1454,**start-asset**,**start-lang**,English,**start-html**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-mbl-1454_html_en/,**start-pdf**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-mbl-1454_pdf_en.pdf,**end-asset**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOL-MBL-1455,**start-asset**,**start-lang**,English,**start-html**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-mbl-1455_html_en/,**start-pdf**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-mbl-1455_pdf_en.pdf,**end-asset**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOL-MBL-1456,**start-asset**,**start-lang**,English,**start-html**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-mbl-1456_html_en/,**start-pdf**,http://www.googledrive.com/host/0BwKvJQgQjgwdfkZvYXJrVkpGYkswUTlKanlIRUFoTno1ckx3ZVFLWkJOMFUxcHgtV29od2c/HOL-2014/hol-mbl-1456_pdf_en.pdf,**end-asset**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
